Date,Week,DayOfWeek,StandupOwner,ActiveExperiments,TrafficAllocation,E1_Status,E2_Status,E3_Status,E4_Status,E5_Status,E6_Status,DataQualityCheckPassed,GuardrailAlerts,PrimaryKPITrend,SecondaryKPITrend,MobileDelta,DesktopDelta,TopSourceDelta,Blockers,EngineeringActionsToday,AnalyticsActionsToday,QAFindings,DecisionNeeded,DecisionOwner,DecisionDeadline,RiskLevel,Notes
2026-04-20,Week 1,Monday,TBD,"E1,E2",Planning,Planned,Planned,Not started,Not started,Not started,Not started,No,None,Not started,Not started,Not started,Not started,Not started,None,TBD,TBD,TBD,Yes,GL,2026-04-20,Low,Kickoff and owner assignment
2026-04-21,Week 1,Tuesday,TBD,"E1,E2",Staging prep,In build,In build,Not started,Not started,Not started,Not started,No,None,Not started,Not started,Not started,Not started,Not started,None,TBD,TBD,TBD,Yes,GL,2026-04-21,Low,Spec and instrumentation freeze
2026-04-22,Week 1,Wednesday,TBD,"E1,E2",Staging QA,QA,QA,Not started,Not started,Not started,Not started,Pending,None,Not started,Not started,Not started,Not started,Not started,None,TBD,TBD,TBD,Yes,QA,2026-04-22,Medium,Event and visual QA
2026-04-23,Week 1,Thursday,TBD,"E1,E2",10% launch,Live 10%,Live 10%,Not started,Not started,Not started,Not started,Yes,None,Collecting,Collecting,Collecting,Collecting,Collecting,None,TBD,TBD,TBD,Yes,GL,2026-04-23,Medium,Soft launch monitor
2026-04-24,Week 1,Friday,TBD,"E1,E2",50% if stable,Live ramp,Live ramp,Not started,Not started,Not started,Not started,Yes,None,Early signal,Early signal,Early signal,Early signal,Early signal,None,TBD,TBD,TBD,Yes,GL,2026-04-24,Medium,Weekend stability plan
2026-04-27,Week 2,Monday,TBD,"E1,E2",Run,Running,Running,Not started,Not started,Not started,Not started,Yes,None,Monitoring,Monitoring,Monitoring,Monitoring,Monitoring,None,TBD,TBD,TBD,No,, ,Low,Segment review
2026-04-28,Week 2,Tuesday,TBD,"E1,E2",Run,Running,Running,Not started,Not started,Not started,Not started,Yes,None,Monitoring,Monitoring,Monitoring,Monitoring,Monitoring,None,TBD,TBD,TBD,No,, ,Low,Mid-test QA check
2026-04-29,Week 2,Wednesday,TBD,"E1,E2",Run,Running,Running,Not started,Not started,Not started,Not started,Yes,None,Monitoring,Monitoring,Monitoring,Monitoring,Monitoring,None,TBD,TBD,TBD,Yes,GL,2026-04-29,Low,Sample progress check
2026-04-30,Week 2,Thursday,TBD,"E1,E2",Run/Decision prep,Running,Running,Not started,Not started,Not started,Not started,Yes,None,Pre-decision,Pre-decision,Pre-decision,Pre-decision,Pre-decision,None,TBD,TBD,TBD,Yes,GL,2026-04-30,Low,Decision memo draft
2026-05-01,Week 2,Friday,TBD,"E1,E2",Decision day,Decide,Decide,Not started,Not started,Not started,Not started,Yes,None,Decision,Decision,Decision,Decision,Decision,None,TBD,TBD,TBD,Yes,GL,2026-05-01,Medium,Ship winner or extend
2026-05-04,Week 3,Monday,TBD,"E3,E4",Planning,Done,Done,Planned,Planned,Not started,Not started,No,None,Not started,Not started,Not started,Not started,Not started,None,TBD,TBD,TBD,Yes,GL,2026-05-04,Low,E3/E4 kickoff
2026-05-05,Week 3,Tuesday,TBD,"E3,E4",Staging prep,Done,Done,In build,In build,Not started,Not started,No,None,Not started,Not started,Not started,Not started,Not started,None,TBD,TBD,TBD,Yes,QA,2026-05-05,Low,Tracking and UI QA
2026-05-06,Week 3,Wednesday,TBD,"E3,E4",10% launch,Done,Done,Live 10%,Live 10%,Not started,Not started,Yes,None,Collecting,Collecting,Collecting,Collecting,Collecting,None,TBD,TBD,TBD,Yes,GL,2026-05-06,Medium,Soft launch
2026-05-07,Week 3,Thursday,TBD,"E3,E4",50% if stable,Done,Done,Live ramp,Live ramp,Not started,Not started,Yes,None,Early signal,Early signal,Early signal,Early signal,Early signal,None,TBD,TBD,TBD,Yes,GL,2026-05-07,Medium,Ramp decision
